soc,occ_title,a_pct25_2021,a_pct25_2025,tot_emp_2025,nominal_chg,real_chg,arrow,note
25-1011,"Business Teachers, Postsecondary",61760,64150,82150,0.0387,-0.1302,down,
25-1021,"Computer Science Teachers, Postsecondary",50010,66600,35480,0.3317,0.1152,up,
25-1022,"Mathematical Science Teachers, Postsecondary",60310,61690,47670,0.0229,-0.1434,down,
25-1031,"Architecture Teachers, Postsecondary",64490,74970,7700,0.1625,-0.0265,flat,
25-1032,"Engineering Teachers, Postsecondary",78130,81570,40270,0.0440,-0.1257,down,
25-1041,"Agricultural Sciences Teachers, Postsecondary",64280,66410,8920,0.0331,-0.1349,down,
25-1042,"Biological Science Teachers, Postsecondary",61750,64350,50190,0.0421,-0.1273,down,
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",63300,77440,1520,0.2234,0.0245,flat,small occupation (<5k employed)
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",64030,77260,9900,0.2066,0.0104,flat,
25-1052,"Chemistry Teachers, Postsecondary",62060,68530,19980,0.1043,-0.0753,down,
25-1053,"Environmental Science Teachers, Postsecondary",62160,69880,6690,0.1242,-0.0586,down,
25-1054,"Physics Teachers, Postsecondary",62540,74050,13090,0.1840,-0.0085,flat,
25-1061,"Anthropology and Archeology Teachers, Postsecondary",64490,75200,5240,0.1661,-0.0235,flat,
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",61690,65660,11300,0.0644,-0.1087,down,
25-1063,"Economics Teachers, Postsecondary",78400,86840,11560,0.1077,-0.0725,down,
25-1064,"Geography Teachers, Postsecondary",63600,74690,3330,0.1744,-0.0166,flat,small occupation (<5k employed)
25-1065,"Political Science Teachers, Postsecondary",63050,73260,16970,0.1619,-0.0270,flat,
25-1066,"Psychology Teachers, Postsecondary",60740,63400,41530,0.0438,-0.1259,down,
25-1067,"Sociology Teachers, Postsecondary",61420,64990,11850,0.0581,-0.1139,down,
25-1069,"Social Sciences Teachers, Postsecondary, All Other",60270,55910,16580,-0.0723,-0.2232,down,
25-1071,"Health Specialties Teachers, Postsecondary",64630,75690,221270,0.1711,-0.0193,flat,
25-1072,"Nursing Instructors and Teachers, Postsecondary",61390,63510,77960,0.0345,-0.1337,down,
25-1081,"Education Teachers, Postsecondary",48780,53770,60830,0.1023,-0.0769,down,
25-1082,"Library Science Teachers, Postsecondary",61350,64080,3630,0.0445,-0.1253,down,small occupation (<5k employed)
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",50770,60020,13150,0.1822,-0.0100,flat,
25-1112,"Law Teachers, Postsecondary",73150,88700,20060,0.2126,0.0154,flat,
25-1113,"Social Work Teachers, Postsecondary",49990,61170,12610,0.2236,0.0247,flat,
25-1121,"Art, Drama, and Music Teachers, Postsecondary",49990,61620,93560,0.2326,0.0322,up,
25-1122,"Communications Teachers, Postsecondary",60420,61250,29420,0.0137,-0.1511,down,
25-1123,"English Language and Literature Teachers, Postsecondary",51730,60900,57720,0.1773,-0.0142,flat,
25-1124,"Foreign Language and Literature Teachers, Postsecondary",60550,62510,19830,0.0324,-0.1355,down,
25-1125,"History Teachers, Postsecondary",61070,63920,18790,0.0467,-0.1235,down,
25-1126,"Philosophy and Religion Teachers, Postsecondary",60670,62600,20460,0.0318,-0.1360,down,
25-1192,"Family and Consumer Sciences Teachers, Postsecondary",61350,57410,2770,-0.0642,-0.2164,down,small occupation (<5k employed)
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",49860,59990,12630,0.2032,0.0075,flat,
25-1194,"Career/Technical Education Teachers, Postsecondary",46910,50320,114110,0.0727,-0.1017,down,
25-1199,"Postsecondary Teachers, All Other",56550,59290,149840,0.0485,-0.1220,down,
25-2011,"Preschool Teachers, Except Special Education",28440,34530,478780,0.2141,0.0167,flat,
25-2012,"Kindergarten Teachers, Except Special Education",48100,52180,108870,0.0848,-0.0916,down,
25-2021,"Elementary School Teachers, Except Special Education",48450,57710,1388390,0.1911,-0.0026,flat,
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",48540,58530,620090,0.2058,0.0097,flat,
25-2023,"Career/Technical Education Teachers, Middle School",52170,58690,16870,0.1250,-0.0579,down,
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",48830,59980,1065210,0.2283,0.0286,flat,
25-2032,"Career/Technical Education Teachers, Secondary School",50130,60590,111420,0.2087,0.0121,flat,
25-2051,"Special Education Teachers, Preschool",48450,52210,29510,0.0776,-0.0976,down,
25-2052,"Special Education Teachers, Kindergarten and Elementary School",48770,59710,260870,0.2243,0.0252,flat,
25-2057,"Special Education Teachers, Middle School",49120,60000,95200,0.2215,0.0229,flat,
25-2058,"Special Education Teachers, Secondary School",49850,60180,163930,0.2072,0.0109,flat,
25-2059,"Special Education Teachers, All Other",48350,60930,33930,0.2602,0.0553,up,
25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",46620,49100,37310,0.0532,-0.1181,down,
25-3021,Self-Enrichment Teachers,29900,36380,332110,0.2167,0.0189,flat,
25-3031,"Substitute Teachers, Short-Term",25670,34170,524770,0.3311,0.1147,up,
25-3041,Tutors,29230,35000,175070,0.1974,0.0027,flat,
25-3099,"Teachers and Instructors, All Other",44520,48490,113790,0.0892,-0.0879,down,
25-4011,Archivists,46350,50680,7970,0.0934,-0.0844,down,
25-4012,Curators,46590,48870,12150,0.0489,-0.1216,down,
25-4013,Museum Technicians and Conservators,36440,41050,12310,0.1265,-0.0567,down,
25-4022,Librarians and Media Collections Specialists,47960,56310,133790,0.1741,-0.0168,flat,
25-4031,Library Technicians,29330,35740,68690,0.2185,0.0204,flat,
25-9021,Farm and Home Management Educators,37140,46990,8220,0.2652,0.0595,up,
25-9031,Instructional Coordinators,49750,60780,227760,0.2217,0.0231,flat,
25-9044,"Teaching Assistants, Postsecondary",29670,35270,164090,0.1887,-0.0045,flat,
25-9045,"Teaching Assistants, Except Postsecondary",24040,31060,1420350,0.2920,0.0819,up,
25-9099,"Educational Instruction and Library Workers, All Other",30130,36050,118590,0.1965,0.0019,flat,
27-1011,Art Directors,77490,82480,53070,0.0644,-0.1087,down,
27-1012,Craft Artists,28830,35020,4580,0.2147,0.0172,flat,small occupation (<5k employed)
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",37310,37560,11220,0.0067,-0.1570,down,
27-1014,Special Effects Artists and Animators,61300,75490,19970,0.2315,0.0312,up,
27-1019,"Artists and Related Workers, All Other",38310,42010,6930,0.0966,-0.0817,down,
27-1021,Commercial and Industrial Designers,57070,66450,33490,0.1644,-0.0250,flat,
27-1022,Fashion Designers,50630,51940,21450,0.0259,-0.1409,down,
27-1023,Floral Designers,27830,32810,40590,0.1789,-0.0128,flat,
27-1024,Graphic Designers,39270,49040,197830,0.2488,0.0457,up,
27-1025,Interior Designers,46420,51840,71500,0.1168,-0.0648,down,
27-1026,Merchandise Displayers and Window Trimmers,29240,35130,165220,0.2014,0.0061,flat,
27-1027,Set and Exhibit Designers,39180,52830,10630,0.3484,0.1291,up,
27-1029,"Designers, All Other",44580,51020,9480,0.1445,-0.0416,down,
27-2011,Actors,*,,55000,,,none,wage suppressed/annual-only
27-2012,Producers and Directors,50860,62670,143120,0.2322,0.0319,up,
27-2021,Athletes and Sports Competitors,37890,36790,15070,-0.0290,-0.1869,down,
27-2022,Coaches and Scouts,29240,35330,248950,0.2083,0.0118,flat,
27-2023,"Umpires, Referees, and Other Sports Officials",24350,32260,15780,0.3248,0.1094,up,
27-2031,Dancers,*,,8130,,,none,wage suppressed/annual-only
27-2032,Choreographers,29800,41600,2860,0.3960,0.1690,up,small occupation (<5k employed)
27-2041,Music Directors and Composers,36720,53110,12540,0.4464,0.2112,up,
